Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
TOI-237 b,2020,5,0,M4.5 V,2,2938,0,353,-29,1,4,0.06106658831938421,0.08797556510958637,No
HD 23472 f,2022,12,0,K4 V,0,4410,0,55,-62,1,3,0.46430531742316195,0.6689013388148037,No
K2-16 c,2015,19,0,K3 V,6,4468,0,175,4,2,2,0.3970120215439026,0.571955269024538,No
K2-37 d,2016,14,0,G3 V,7,5139,0,243,-24,2,2,0.5556529922617732,0.8005013436053546,No
K2-36 b,2016,1,0,K2 V,4,4642,0,169,3,1,8,0.4946564284179214,0.7126266592388392,No
Kepler-78 b,2013,0,0,G,1,4784,0,293,44,1,5,0.5374074187201304,0.7742158626697019,No
Wolf 503 b,2018,6,0,K3.5 V,6,4442,0,206,-6,2,4,0.4378281262958714,0.6307569800738961,No
WASP-173 A b,2018,1,0,G3,1172,5526,1,354,-34,13,2,1.0490680424896974,1.5113396116668691,No
HD 98736 b,2018,968,1,G5,740,4997,0,170,18,13,1,0.7401225857152176,1.0662574170366088,No
HIP 35173 b,2019,41,0,K2 V,12,4607,0,109,-3,3,1,0.5275986278921676,0.7600848306294224,No
GJ 338 B b,2020,24,0,M0 V,10,3740,0,138,52,3,1,0.2684130687917872,0.38668922007323103,No
HD 218566 b,2010,225,0,K3V,63,4456,0,347,-2,9,0,0.5666353403219562,0.8163230605771881,Yes
HD 221287 b,2007,456,1,F7 V,982,6030,1,352,-58,13,2,1.228297753151809,1.769546849272147,Yes
HD 222076 b,2016,871,1,K0 III,495,4532,8,354,-70,13,1,2.778456855941824,4.0027831709815,No
HD 222582 b,1999,572,1,G5 V,2660,5516,1,355,-5,12,7,1.0884379042096393,1.5680577930557371,Yes
HD 224693 b,2006,26,0,G2 V,222,5620,4,359,-22,14,0,1.924436819162032,2.7724394197036397,No
HD 87883 b,2009,3309,4,K0,1719,4706,0,152,34,12,4,0.5543750258427639,0.7986602416051021,No
HD 45350 b,2004,963,1,G5 V,568,5292,1,97,38,13,1,1.1215113094601736,1.6157049860149435,No
HD 47186 b,2008,4,0,G6 V,22,5383,1,99,-27,5,0,1.001852202809682,1.443318124102376,No
HD 60532 b,2008,201,0,F6 IV,336,5971,10,113,-22,13,0,3.0185867224097067,4.3487262027374705,No
